threshold,precision,recall,f1,accuracy,auc
0.0,0.05,1.0,0.09,0.05,0.84
0.05,0.05,0.98,0.1,0.13,0.84
0.1,0.11,0.94,0.2,0.63,0.84
0.15,0.18,0.56,0.27,0.85,0.84
0.2,0.24,0.18,0.2,0.93,0.84
0.25,0.0,0.0,0.0,0.95,0.84
0.3,0.0,0.0,0.0,0.95,0.84
0.35,0.0,0.0,0.0,0.95,0.84
0.4,0.0,0.0,0.0,0.95,0.84
0.45,0.0,0.0,0.0,0.95,0.84
0.5,0.0,0.0,0.0,0.95,0.84
0.55,0.0,0.0,0.0,0.95,0.84
0.6,0.0,0.0,0.0,0.95,0.84
0.65,0.0,0.0,0.0,0.95,0.84
0.7,0.0,0.0,0.0,0.95,0.84
0.75,0.0,0.0,0.0,0.95,0.84
0.8,0.0,0.0,0.0,0.95,0.84
0.85,0.0,0.0,0.0,0.95,0.84
0.9,0.0,0.0,0.0,0.95,0.84
0.95,0.0,0.0,0.0,0.95,0.84
1.0,0.0,0.0,0.0,0.95,0.84
